age,gender,occupation,branch_code,current_balance,churn
66,Male,self_employed,755,1458.71,0
35,Male,self_employed,3214,5390.37,0
31,Male,salaried,41,3913.16,0
90,,self_employed,582,2291.91,1
42,Male,self_employed,388,927.72,1
42,Female,self_employed,1666,15202.2,0
72,Male,retired,1,7006.93,0
46,Male,self_employed,317,10096.58,0
31,Male,salaried,4110,1355.86,0
40,Male,self_employed,38,4957.95,0
68,Male,retired,709,1928.76,0
32,Male,salaried,89,6886.4,0
73,Male,retired,409,554.38,1
50,Male,salaried,88,4548.48,0
48,Female,self_employed,569,5431.42,1
51,Female,self_employed,149,2010.98,0
49,Male,self_employed,1023,1448.49,1
52,Female,self_employed,32,5292.13,0
47,Female,self_employed,490,3507.71,0
41,Female,self_employed,542,3042.7,1
45,Male,self_employed,501,2.18,1
29,Female,self_employed,1106,4792.6,1
41,Female,self_employed,1388,8358.47,0
34,Male,self_employed,671,2497.52,0
48,Male,salaried,221,2596.21,1
76,Male,self_employed,881,14289.26,0
36,Male,self_employed,58,20273.43,0
56,Male,self_employed,2421,7111.29,0
55,Male,self_employed,325,6424.46,0
33,Female,salaried,14,6152.67,0
66,Male,retired,4029,972.57,1
64,Female,retired,60,10701.32,0
54,Male,self_employed,797,3294.42,0
90,,self_employed,8,1210.46,0
9,Male,student,512,4065.35,0
52,Male,self_employed,264,7613.61,0
51,Male,self_employed,36,226.9,0
54,Male,self_employed,101,1436.71,0
47,Male,self_employed,1130,5575.95,0
34,Male,salaried,823,3295.17,0
69,Male,retired,17,13148.58,0
90,,self_employed,2939,7870.87,0
44,Female,self_employed,1993,2021.8,1
55,Female,self_employed,509,2899.7,0
17,Female,student,36,849.37,0
48,Male,self_employed,3660,6792.03,0
41,Male,self_employed,654,1540.21,0
4,Male,student,1314,5717.13,0
52,Male,self_employed,303,3854.44,1
30,Female,self_employed,2072,3585.62,1
45,Female,self_employed,438,9885.21,0
43,Male,salaried,249,4474.38,0
65,Male,self_employed,955,1443.95,0
34,Male,self_employed,353,21252.86,0
51,Female,self_employed,15,894.72,0
72,Female,self_employed,717,1499.55,0
44,Male,self_employed,2530,91.47,1
19,Female,student,2754,2788.4,0
43,Female,self_employed,615,3365.16,0
49,Male,self_employed,84,3373.21,0
68,Female,self_employed,88,4091.66,0
45,Male,salaried,176,12039.77,0
45,Female,self_employed,890,6036.9,0
